English,Chinese,Pinyin,Image_Path,Topic,Created_Date,Chinese_Sentence
Cat,猫,mao1,"<img src=""Cat_5ed54e6a.jpg"">",animal,2025-07-27 23:41:03,My cat loves to sleep in the sun.<br>我的猫喜欢在阳光下睡觉。<br>Wo3 de mao1 xi3huan zai4 yang2guang1 xia4 shui4jiao4.<br>My ____ loves to sleep in the sun.<br>Wo3 de ____ xi3huan zai4 yang2guang1 xia4 shui4jiao4.
Dog,狗,gou3,"<img src=""Dog_96acae33.jpg"">",animal,2025-07-27 23:41:03,The dog wagged its tail happily.<br>这只狗高兴地摇着尾巴。<br>Zhe4 zhi1 gou3 gao1xing4 de yao2zhe wei3ba.<br>The ____ wagged its tail happily.<br>Zhe4 zhi1 ____ gao1xing4 de yao2zhe wei3ba.
Bird,鸟,niao3,"<img src=""Bird_49da6825.jpg"">",animal,2025-07-27 23:41:03,A small bird sang a sweet song.<br>一只小鸟唱着甜美的歌。<br>Yi4 zhi1 xiao3niao3 chang4zhe tian2mei3 de ge1.<br>A small ____ sang a sweet song.<br>Yi4 zhi1 xiao3____ chang4zhe tian2mei3 de ge1.
Fish,鱼,yu2,"<img src=""Fish_6b7a41a7.jpg"">",animal,2025-07-27 23:41:03,We fed the fish in the pond.<br>我们给池塘里的鱼喂食。<br>Wo3men gei3 chi2tang2 li3 de yu2 wei4shi2.<br>We fed the ____ in the pond.<br>Wo3men gei3 chi2tang2 li3 de ____ wei4shi2.
Elephant,大象,da4xiang4,"<img src=""Elephant_7fb22a27.jpg"">",animal,2025-07-27 23:41:03,An elephant is a very large animal.<br>大象是一种非常大的动物。<br>Da4xiang4 shi4 yi4 zhong3 fei1chang2 da4 de dong4wu4.<br>An ____ is a very large animal.<br>____ shi4 yi4 zhong3 fei1chang2 da4 de dong4wu4.
Lion,狮子,shi1zi,"<img src=""Lion_d7f2aa8e.jpg"">",animal,2025-07-27 23:41:03,The lion roared loudly.<br>狮子大声地吼叫。<br>Shi1zi da4sheng1 de hou3jiao4.<br>The ____ roared loudly.<br>____ da4sheng1 de hou3jiao4.
Tiger,老虎,lao3hu3,"<img src=""Tiger_c88039b1.jpg"">",animal,2025-07-27 23:41:03,Tigers have stripes on their fur.<br>老虎的皮毛上有条纹。<br>Lao3hu3 de pi2mao2 shang4 you3 tiao2wen2.<br>____ have stripes on their fur.<br>____ de pi2mao2 shang4 you3 tiao2wen2.
Monkey,猴子,hou2zi,"<img src=""Monkey_47cff8a1.jpg"">",animal,2025-07-27 23:41:03,Monkeys love to swing from trees.<br>猴子喜欢在树上荡来荡去。<br>Hou2zi xi3huan zai4 shu4 shang4 dang4 lai2 dang4 qu4.<br>____ love to swing from trees.<br>____ xi3huan zai4 shu4 shang4 dang4 lai2 dang4 qu4.
Bear,熊,xiong2,"<img src=""Bear_50ade5d9.jpg"">",animal,2025-07-27 23:41:03,A bear can stand on its hind legs.<br>熊可以两条后腿站立。<br>Xiong2 ke3yi3 liang3 tiao2 hou4tui3 zhan4li4.<br>A ____ can stand on its hind legs.<br>____ ke3yi3 liang3 tiao2 hou4tui3 zhan4li4.
Horse,马,ma3,"<img src=""Horse_d72e5288.jpg"">",animal,2025-07-27 23:41:03,She rode a brown horse.<br>她骑了一匹棕色的马。<br>Ta1 qi2 le yi4 pi1 zong1se4 de ma3.<br>She rode a brown ____.<br>Ta1 qi2 le yi4 pi1 zong1se4 de ____.
